Calendar Date,Date,Unemployment_Rate_MI,Unemployment_Rate_US,Rank,Highlights
06/2021,Jun-21,0.063,0.059,26,Michigan’s seasonally adjusted unemployment rate held at 5 percent in June. The jobless rate is 9.1 percentage points less than the rate marked in June 2020.
07/2021,Jul-21,0.062,0.054,24,Michigan’s seasonally adjusted unemployment rate dropped to 4.8 percent in July. The jobless rate is 4.2 percentage points less than the rate marked in July 2020.
08/2021,Aug-21,0.06,0.052,24,Michigan’s seasonally adjusted unemployment rate dropped to 4.7 percent in August. The jobless rate is 3.8 percentage points less than the rate marked in August 2020.
09/2021,Sep-21,0.057,0.048,25,Michigan’s seasonally adjusted unemployment rate dropped to 4.6 percent in September. The jobless rate is 3.6 percentage points less than the rate marked in September 2020.
10/2021,Oct-21,0.054,0.045,42,Michigan’s seasonally adjusted unemployment rate dropped to 6.1 percent in October. The jobless rate is 2.1 percentage points less than the rate marked in October 2020. The Federal Bureau of Labor Statistics (BLS) identified a distortion in their statistical estimates and has revised Michigan’s September labor force data. Additional revisions to labor force data for January - August 2021 will need to be made and will occur during the normal review process at the end of the year.
11/2021,Nov-21,0.052,0.042,42,Michigan’s seasonally adjusted unemployment rate dropped to 5.9 percent in November. The jobless rate is 2.2 percentage points less than the rate marked in November 2020. The Federal Bureau of Labor Statistics (BLS) identified a distortion in their statistical estimates and has revised Michigan’s September labor force data. Additional revisions to labor force data for January - August 2021 will need to be made and will occur during the normal review process at the end of the year.
12/2021,Dec-21,0.051,0.039,42,Michigan’s seasonally adjusted unemployment rate dropped to 5.6 percent in December. The jobless rate is 2.6 percentage points less than the rate marked in December 2020. The Federal Bureau of Labor Statistics (BLS) identified a distortion in their statistical estimates and has revised Michigan’s September labor force data. Additional revisions to labor force data for January - August 2021 will need to be made and will occur during the normal review process at the end of the year.
01/2022,Jan-22,0.049,0.04,40,Michigan’s seasonally adjusted unemployment rate dropped to 4.9 percent in January. The jobless rate is 2.5 percentage points less than the rate marked in January 2021.
02/2022,Feb-22,0.047,0.038,39,Michigan’s seasonally adjusted unemployment rate dropped to 4.7 percent in February. The jobless rate is 1.6 percentage points less than the rate marked in February 2021.
03/2022,Mar-22,0.044,0.036,39,Michigan’s seasonally adjusted unemployment rate dropped to 4.4 percent in March. The jobless rate is 1.9 percentage points less than the rate marked in March 2021.
04/2022,Apr-22,0.043,0.036,40,Michigan’s seasonally adjusted unemployment rate dropped to 4.3 percent in April. The jobless rate is 1.9 percentage points less than the rate marked in April 2021.
05/2022,May-22,0.043,0.036,42,Michigan’s seasonally adjusted unemployment rate held steady at 4.3 percent in May. The jobless rate is 1.9 percentage points less than the rate marked in May 2021.
06/2022,Jun-22,0.043,0.036,42,Michigan’s seasonally adjusted unemployment rate held steady at 4.3 percent in June. The jobless rate is 2.0 percentage points less than the rate marked in June 2021.
07/2022,Jul-22,0.042,0.035,43,Michigan’s seasonally adjusted unemployment rate held steady at 4.3 percent in July. The jobless rate is 2.0 percentage points less than the rate marked in July 2021.
08/2022,Aug-22,0.041,0.037,38,Michigan’s seasonally adjusted unemployment rate decreased to 4.1 percent. The jobless rate is 1.9 percentage points less than the rate marked in August 2021.
09/2022,Sep-22,0.041,0.035,43,Michigan’s seasonally adjusted unemployment rate held steady at 4.1 percent. The jobless rate is 1.6 percentage points less than the rate marked in September 2021.
10/2022,Oct-22,0.042,0.037,41,Michigan’s seasonally adjusted unemployment rate increased to 4.2 percent. The jobless rate is 1.2 percentage points less than the rate marked in October 2021.
11/2022,Nov-22,0.043,0.036,43,Michigan’s seasonally adjusted unemployment rate increased to 4.3 percent. The jobless rate is 0.9 percentage points less than the rate marked in November 2021.
12/2022,Dec-22,0.043,0.035,44,Michigan’s seasonally adjusted unemployment rate held steady at 4.3 percent. The jobless rate is 0.8 percentage points less than the rate marked in December 2021.
